SampleID	Haplogroup	Overall_Rank
HG01571	C	0.7232
HG01572	B2y	0.7097
HG01577	D1	0.8029
HG01578	D1	0.7527
HG01583	M3a2	0.7271
HG01586	H2a	0.6203
HG01589	H13a2a	0.7873
HG01593	R30a	0.6303
HG01595	F1a'c'f	0.7897
HG01596	M7b1a1a3	0.7512
HG01597	F1	0.6477
HG01598	F1a1	0.7619
HG01599	M7b1a1+(16192)	0.7309
HG01600	F1a'c'f	0.7546
HG01602	J1c3f	0.8649
HG01603	U5a1h	0.8902
HG01605	K1a4a1	0.8546
HG01606	H1ae2	0.6740
HG01607	L1b1a6	0.7914
HG01608	H1c	0.7745
HG01610	U5a1+@16192	0.7974
HG01612	U4a2f	0.8069
HG01613	H2a	0.6795
HG01615	U5a1c	0.8534
HG01617	K1a2	0.8750
HG01618	T2b13a	0.7726
HG01619	H5a7	0.6187
HG01620	V2b	0.6965
HG01623	HV0+195	0.6301
HG01624	H2a	0.6444
HG01625	U1a1a2	0.8228
HG01626	T2a1b1a1b	0.8086
HG01628	U6a1a	0.7661
HG01630	H9	0.7618
HG01631	H2a	0.5717
HG01632	T2a1a	0.8186
HG01668	H8c	0.7815
HG01669	U4c1	0.8169
HG01670	U4c1	0.7842
HG01672	HV0+195	0.6117
HG01673	U5b1f1a	0.8381
HG01675	K1a2	0.8750
HG01676	H5a1g	0.6471
HG01678	H1e1a1	0.6497
HG01679	H5a3a1	0.6668
HG01680	HV0a	0.7477
HG01682	HV0+195	0.6489
HG01684	T2b5	0.8101
HG01685	K1c1	0.7867
HG01686	V19	0.7563
HG01694	J1b1a1	0.8473
HG01695	H2a	0.6955
HG01697	T1a1	0.8337
HG01699	H2a	0.6064
HG01700	V3a	0.7619
HG01702	T2b33	0.8098
HG01704	HV0a	0.5655
HG01705	U2e1a1	0.8484
HG01707	U4b3	0.7896
HG01708	H	0.6941
HG01709	H34	0.7722
HG01710	HV4a1a	0.7506
HG01746	U5b	0.7695
HG01747	H2a	0.7276
HG01756	H17	0.7060
HG01757	U4	0.8374
HG01761	L3d1'2'3'4'5'6	0.8079
HG01762	U5b1+16189+@16192	0.7545
HG01765	H1ba	0.6846
HG01766	N1b1a	0.7868
HG01767	V25	0.7865
HG01768	H6a1b2d	0.7228
HG01770	H+16129	0.6079
HG01771	H4a1a4a	0.7465
HG01773	H6a1a	0.7743
HG01775	U5a2c	0.8551
HG01776	H1ag	0.7101
HG01777	H1c3a	0.8237
HG01779	H2a	0.6568
HG01781	R0a4	0.8162
HG01783	H4a1	0.7556
HG01784	H2a	0.6668
HG01785	H2a	0.6001
HG01786	H1	0.7119
HG01789	H5a1c1a	0.6538
HG01790	H33a	0.7963
HG01791	U5b2c2b	0.8535
HG01794	F1a'c'f	0.7569
HG01795	M61	0.7600
HG01796	R9b1a3	0.7391
HG01797	F3a1	0.8202
HG01798	B4b	0.6799
HG01799	B4c2	0.6331
HG01800	F1a1a	0.6943
HG01801	F1a2a	0.7424
HG01802	F1a1	0.7396
HG01804	D4b1a	0.7321
HG01805	F1a1a	0.7153
HG01806	F1a'c'f	0.7531
HG01807	D4b2b	0.7587
HG01808	C	0.7934
HG01809	F1a1a	0.7525
HG01810	M7b1a1+(16192)	0.7225
HG01811	B4c2	0.6910
HG01812	M12a1a	0.7452
HG01813	B5a1a	0.7542
HG01815	B5a1d	0.6874
HG01816	F1a1a	0.7500
HG01817	M7b1a1d1	0.7524
HG01840	M7b1a1f	0.7264
HG01841	M7b1a1+(16192)	0.6864
HG01842	F1a1a	0.7962
HG01843	M7b1a1+(16192)	0.7299
HG01844	D4a7	0.8129
HG01845	B5a1a	0.7207
HG01846	M7b1a1a3	0.7512
HG01847	F1a1a	0.8237
HG01848	B5a1d	0.7589
HG01849	F1a'c'f	0.7171
HG01850	B5a1a	0.7321
HG01851	M7c2	0.7689
HG01852	D5b1c1a	0.7491
HG01853	F1a1a1	0.8232
HG01855	N9a10	0.7558
HG01857	F1a1a	0.7558
HG01858	F1a'c'f	0.7506
HG01859	B5a	0.6828
HG01860	F1a'c'f	0.7680
HG01861	M7b1a1a3	0.7362
HG01862	F1a1a	0.7621
HG01863	B5a1a	0.6806
HG01864	B5a1a	0.6768
HG01865	R22	0.6236
HG01866	B4b1c1	0.7269
HG01867	F3a1	0.7967
HG01868	B5a1c	0.7036
HG01869	B4h	0.5978
HG01870	B5a	0.6952
HG01871	M7b1a1b	0.7369
HG01872	R0+16189	0.5538
HG01873	F1a1a1	0.7943
HG01874	R9b1a1a	0.8162
HG01878	B5a1c	0.7080
HG01879	L3b2b	0.8288
HG01880	L2c1	0.8391
HG01882	L0a1a2	0.7997
HG01883	L2a1+16189  (16192)	0.7966
HG01885	L1c1d	0.7686
HG01886	L1b2	0.7765
HG01889	L2a1a2	0.7976
HG01890	L2a1f2	0.7711
HG01892	A2+(64)+@153	0.7221
HG01893	B2	0.6910
HG01894	L3d3	0.7344
HG01896	L2a1c3	0.7964
HG01912	L3e2a	0.8243
HG01914	L3b1a	0.7847
HG01915	L2a1+16189  (16192)	0.8261
HG01917	D1	0.7023
HG01918	A2+(64)	0.7122
HG01920	B2	0.7335
HG01921	D1	0.7358
HG01923	B2b2	0.6986
HG01924	B2	0.6421
HG01926	B2	0.7108
HG01927	B2	0.6279
HG01932	C	0.6911
HG01933	L2a1a	0.8158
HG01935	A2+(64)	0.7158
HG01936	B2	0.7254
HG01938	D1	0.7411
HG01939	D1	0.7785
HG01941	B2	0.6228
HG01942	C	0.7009
HG01944	C1c	0.7052
HG01945	B2	0.6738
HG01947	C	0.7631
HG01948	C	0.7311
HG01950	C	0.6760
HG01951	A2	0.7064
HG01953	B2	0.6721
HG01954	A2+(64)	0.7705
HG01956	L1b2	0.7885
HG01958	L2a1e1	0.7823
HG01961	C	0.7629
HG01965	C	0.7044
HG01967	B2	0.6466
HG01968	B2	0.6438
HG01970	B2	0.6674
HG01971	B2	0.6819
HG01973	B2	0.7034
HG01974	B2	0.7032
HG01976	H13a1a1	0.7016
HG01977	B2	0.6683
HG01979	B2	0.6413
HG01980	B2	0.6675
HG01982	C1c1	0.6733
HG01985	L3e1	0.7448
HG01986	L1c3a	0.7911
HG01988	L1b1	0.7696
HG01989	L2c	0.8226
HG01990	L1c3a1a	0.7715
HG01991	B2	0.6601
HG01992	B2o	0.6429
HG01997	D1	0.7327
HG02002	B2	0.6461
HG02003	B2	0.6740
HG02006	L3e3b	0.7944
HG02008	D1	0.7970
HG02009	L2a1i	0.7788
HG02010	L1c1d	0.7862
HG02012	L3e2a	0.7993
HG02013	L3e1a3b	0.8174
HG02014	L1c1c	0.7559
HG02016	M23	0.6042
HG02017	R9b1a1a	0.7403
HG02019	M7b1a1	0.7243
HG02020	R9c	0.7131
HG02023	F1a'c'f	0.7506
HG02025	M10a1a1b1	0.7716
HG02026	Y1b1	0.8280
HG02028	M74a	0.7969
HG02029	F1a4b	0.7673
HG02031	M7b1a1	0.7513
HG02032	N9a6a	0.7457
HG02035	R9b1b	0.8104
HG02040	N9a10	0.7839
HG02047	B5a1b	0.7499
HG02048	M7b1a1a2	0.7125
HG02049	B4c2	0.6252
HG02050	F2e	0.7621
HG02051	L2a1	0.8149
HG02052	L1c1a2	0.8015
HG02053	L1c1a2	0.7422
HG02054	U6a3c	0.7660
